Grade,Name,Days,GradeOrder,CreatedBy,Type,UsualSubject,UsualGrade,,,,,,,
6,The Human Body,,,CKF,Interdisciplinary,,,,,,,,,
7,America Becomes a World Power,,,CKF,Interdisciplinary,,,,,,,,,
7,World War I,,,CKF,Interdisciplinary,,,,,,,,,
7,America from the Twenties to the New Deal,,,CKF,Interdisciplinary,,,,,,,,,
7,World War II,,,CKF,Interdisciplinary,,,,,,,,,
7,Russian Revolution,,,CKF,Interdisciplinary,,,,,,,,,
7,Cell Division & Genetics,,,CKF,Interdisciplinary,,,,,,,,,
8,The Cold War,,,CKF,Interdisciplinary,,,,,,,,,
8,Civil Rights,,,CKF,Interdisciplinary,,,,,,,,,
8,The Vietnam War & Rise of Social Activism,,,CKF,Interdisciplinary,,,,,,,,,
8,Chemistry of Food,,,CKF,Interdisciplinary,,,,,,,,,
8,Physics,,,CKF,Interdisciplinary,,,,,,,,,
8,Electricity & Magnetism,,,CKF,Interdisciplinary,,,,,,,,,
8,Electromagnetic Radiation & Light,,,CKF,Interdisciplinary,,,,,,,,,
8,Sound Waves,,,CKF,Interdisciplinary,,,,,,,,,
2,Comparisons - Greater & Less Than,5,1,school 49,Math,,,,,,,,,
2,Add two numbers,10,2,school 49,Math,,,,,,,,,
2,Subtract two numbers,10,3,school 49,Math,,,,,,,,,
2,Add three numbers,5,4,school 49,Math,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
